CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,,,,
E009,P E S University (Ring Road Campus),"Banashankari, Bengaluru",CS,3012,8410,3905,3545,9818,8990,3540,--,8272,2136,--,4010,2281,5068,5074,898,4987,3228,15705,25572,32550,8134,--,12344,,,,
E009,P E S University (Ring Road Campus),"Banashankari, Bengaluru",EC,11106,--,18835,6116,10135,10702,9185,--,14688,3632,--,5750,4803,--,6558,2553,6916,5195,35414,57384 131506 20821,,,--,--,,,,
E009,P E S University (Ring Road Campus),"Banashankari, Bengaluru",EE,17016,--,--,14882,--,19737,10063,--,71162,7628,--,--,10830,--,--,7140,13763,16007,24399,--,41888,17163,35403,--,,,,
E009,P E S University (Ring Road Campus),"Banashankari, Bengaluru",ME,17766,--,40056,45833 132290,,--,45755,--,--,18803,--,--,19937,--,40580,14318,34552,35970,74771,101793,104270,61890,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E010,Islamia Institute of Technology," Hulimavu, Bengaluru",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,137506,--,--,--,--,--,--,--,--,,,,
E010,Islamia Institute of Technology," Hulimavu, Bengaluru",CS,76684,--,--,103424,--,126142,--,--,--,73911,--,--,94866,--,--,72635,--,88008,90633,--,--,--,--,--,,,,
E010,Islamia Institute of Technology," Hulimavu, Bengaluru",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140851,--,--,--,--,--,--,--,--,,,,
E010,Islamia Institute of Technology," Hulimavu, Bengaluru",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,96877,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",AE,51921,--,--,57978,--,78030,44347,--,101686,39236,--,--,43543,--,--,37744,55842,58338,63444,104186,64155,39000,--,--,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139074,--,--,--,--,--,--,--,--,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",CH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139526,--,--,--,--,--,--,--,--,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",CS,38496,--,47680,39968,--,60975,35802,--,--,26892,--,--,32408,--,32536,24953,29520,32420,90805,--,--,50672,--,--,,,,
